"candidate_id","station","question_id","score","max_score","examiner_id"
"C0003","04 Abdo Exam","S04-Q5",0,4,"E05"
"C0003","05 Neuro Exam","S05-Q1",2,4,"E08"
"C0003","05 Neuro Exam","S05-Q2",2,4,"E07"
"C0003","05 Neuro Exam","S05-Q3",3,4,"E09"
"C0003","05 Neuro Exam","S05-Q4",3,4,"E04"
"C0003","05 Neuro Exam","S05-Q5",2,4,"E05"
"C0003","06 Communication","S06-Q1",1,4,"E07"
"C0003","06 Communication","S06-Q2",3,4,"E09"
"C0003","06 Communication","S06-Q3",4,4,"E08"
"C0003","06 Communication","S06-Q4",2,4,"E06"
"C0003","06 Communication","S06-Q5",4,4,"E04"
"C0003","07 Prescribing","S07-Q1",3,4,"E03"
"C0003","07 Prescribing","S07-Q2",2,4,"E05"
"C0003","07 Prescribing","S07-Q3",1,4,"E07"
"C0003","07 Prescribing","S07-Q4",2,4,"E03"
"C0003","07 Prescribing","S07-Q5",3,4,"E12"
"C0003","08 Data Interp","S08-Q1",4,4,"E03"
"C0003","08 Data Interp","S08-Q2",2,4,"E01"
"C0003","08 Data Interp","S08-Q3",1,4,"E12"
"C0003","08 Data Interp","S08-Q4",3,4,"E12"
"C0003","08 Data Interp","S08-Q5",0,4,"E07"
"C0003","09 Practical Skills","S09-Q1",0,4,"E02"
"C0003","09 Practical Skills","S09-Q2",4,4,"E11"
"C0003","09 Practical Skills","S09-Q3",1,4,"E06"
"C0003","09 Practical Skills","S09-Q4",3,4,"E11"
"C0003","09 Practical Skills","S09-Q5",2,4,"E05"
"C0003","10 Ethics","S10-Q1",4,4,"E07"
"C0003","10 Ethics","S10-Q2",2,4,"E01"
"C0003","10 Ethics","S10-Q3",2,4,"E05"
"C0003","10 Ethics","S10-Q4",1,4,"E08"
"C0003","10 Ethics","S10-Q5",2,4,"E03"
"C0004","01 History Taking","S01-Q1",4,4,"E09"
"C0004","01 History Taking","S01-Q2",3,4,"E05"
"C0004","01 History Taking","S01-Q3",3,4,"E10"
"C0004","01 History Taking","S01-Q4",2,4,"E12"
"C0004","01 History Taking","S01-Q5",1,4,"E12"
"C0004","02 Cardio Exam","S02-Q1",3,4,"E07"
"C0004","02 Cardio Exam","S02-Q2",1,4,"E02"
"C0004","02 Cardio Exam","S02-Q3",3,4,"E05"
"C0004","02 Cardio Exam","S02-Q4",4,4,"E01"
"C0004","02 Cardio Exam","S02-Q5",1,4,"E12"
"C0004","03 Resp Exam","S03-Q1",3,4,"E01"
"C0004","03 Resp Exam","S03-Q2",1,4,"E08"
"C0004","03 Resp Exam","S03-Q3",4,4,"E06"
"C0004","03 Resp Exam","S03-Q4",0,4,"E12"
"C0004","03 Resp Exam","S03-Q5",4,4,"E08"
"C0004","04 Abdo Exam","S04-Q1",4,4,"E05"
"C0004","04 Abdo Exam","S04-Q2",0,4,"E01"
"C0004","04 Abdo Exam","S04-Q3",1,4,"E08"
"C0004","04 Abdo Exam","S04-Q4",3,4,"E10"
"C0004","04 Abdo Exam","S04-Q5",1,4,"E06"
"C0004","05 Neuro Exam","S05-Q1",3,4,"E06"
"C0004","05 Neuro Exam","S05-Q2",2,4,"E11"
"C0004","05 Neuro Exam","S05-Q3",1,4,"E09"
"C0004","05 Neuro Exam","S05-Q4",3,4,"E01"
"C0004","05 Neuro Exam","S05-Q5",2,4,"E11"
"C0004","06 Communication","S06-Q1",1,4,"E10"
"C0004","06 Communication","S06-Q2",2,4,"E01"
"C0004","06 Communication","S06-Q3",2,4,"E09"
"C0004","06 Communication","S06-Q4",3,4,"E06"
"C0004","06 Communication","S06-Q5",3,4,"E03"
"C0004","07 Prescribing","S07-Q1",3,4,"E09"
"C0004","07 Prescribing","S07-Q2",4,4,"E01"
"C0004","07 Prescribing","S07-Q3",0,4,"E03"
"C0004","07 Prescribing","S07-Q4",4,4,"E06"
"C0004","07 Prescribing","S07-Q5",0,4,"E03"
"C0004","08 Data Interp","S08-Q1",3,4,"E01"
"C0004","08 Data Interp","S08-Q2",2,4,"E01"
"C0004","08 Data Interp","S08-Q3",4,4,"E11"
"C0004","08 Data Interp","S08-Q4",4,4,"E04"
"C0004","08 Data Interp","S08-Q5",1,4,"E07"
"C0004","09 Practical Skills","S09-Q1",1,4,"E03"
"C0004","09 Practical Skills","S09-Q2",4,4,"E08"
"C0004","09 Practical Skills","S09-Q3",2,4,"E11"
"C0004","09 Practical Skills","S09-Q4",1,4,"E02"
"C0004","09 Practical Skills","S09-Q5",3,4,"E05"
"C0004","10 Ethics","S10-Q1",3,4,"E03"
"C0004","10 Ethics","S10-Q2",4,4,"E01"
"C0004","10 Ethics","S10-Q3",3,4,"E05"
"C0004","10 Ethics","S10-Q4",2,4,"E05"
"C0004","10 Ethics","S10-Q5",3,4,"E05"
"C0005","01 History Taking","S01-Q1",4,4,"E11"
"C0005","01 History Taking","S01-Q2",3,4,"E07"
"C0005","01 History Taking","S01-Q3",4,4,"E04"
"C0005","01 History Taking","S01-Q4",4,4,"E11"
"C0005","01 History Taking","S01-Q5",4,4,"E08"
"C0005","02 Cardio Exam","S02-Q1",2,4,"E03"
"C0005","02 Cardio Exam","S02-Q2",3,4,"E04"
"C0005","02 Cardio Exam","S02-Q3",1,4,"E06"
"C0005","02 Cardio Exam","S02-Q4",2,4,"E10"
"C0005","02 Cardio Exam","S02-Q5",2,4,"E05"
"C0005","03 Resp Exam","S03-Q1",2,4,"E03"
"C0005","03 Resp Exam","S03-Q2",3,4,"E03"
"C0005","03 Resp Exam","S03-Q3",1,4,"E07"
"C0005","03 Resp Exam","S03-Q4",2,4,"E12"
"C0005","03 Resp Exam","S03-Q5",1,4,"E08"
"C0005","04 Abdo Exam","S04-Q1",3,4,"E07"
"C0005","04 Abdo Exam","S04-Q2",2,4,"E02"
"C0005","04 Abdo Exam","S04-Q3",2,4,"E01"
"C0005","04 Abdo Exam","S04-Q4",2,4,"E05"
"C0005","04 Abdo Exam","S04-Q5",2,4,"E07"
"C0005","05 Neuro Exam","S05-Q1",4,4,"E10"
"C0005","05 Neuro Exam","S05-Q2",3,4,"E06"
"C0005","05 Neuro Exam","S05-Q3",2,4,"E03"
"C0005","05 Neuro Exam","S05-Q4",3,4,"E07"
"C0005","05 Neuro Exam","S05-Q5",1,4,"E07"
"C0005","06 Communication","S06-Q1",0,4,"E04"
"C0005","06 Communication","S06-Q2",2,4,"E07"
"C0005","06 Communication","S06-Q3",0,4,"E09"
"C0005","06 Communication","S06-Q4",3,4,"E09"
"C0005","06 Communication","S06-Q5",3,4,"E08"
"C0005","07 Prescribing","S07-Q1",1,4,"E12"
"C0005","07 Prescribing","S07-Q2",1,4,"E09"
"C0005","07 Prescribing","S07-Q3",1,4,"E08"
"C0005","07 Prescribing","S07-Q4",2,4,"E11"
"C0005","07 Prescribing","S07-Q5",4,4,"E09"
"C0005","08 Data Interp","S08-Q1",4,4,"E03"
"C0005","08 Data Interp","S08-Q2",3,4,"E11"
"C0005","08 Data Interp","S08-Q3",4,4,"E11"
"C0005","08 Data Interp","S08-Q4",4,4,"E04"
"C0005","08 Data Interp","S08-Q5",2,4,"E05"
"C0005","09 Practical Skills","S09-Q1",2,4,"E10"
"C0005","09 Practical Skills","S09-Q2",2,4,"E08"
"C0005","09 Practical Skills","S09-Q3",3,4,"E12"
"C0005","09 Practical Skills","S09-Q4",3,4,"E05"
"C0005","09 Practical Skills","S09-Q5",3,4,"E12"
"C0005","10 Ethics","S10-Q1",1,4,"E02"
"C0005","10 Ethics","S10-Q2",4,4,"E01"
"C0005","10 Ethics","S10-Q3",2,4,"E01"
"C0005","10 Ethics","S10-Q4",3,4,"E03"
"C0005","10 Ethics","S10-Q5",3,4,"E04"
"C0006","01 History Taking","S01-Q1",4,4,"E04"
"C0006","01 History Taking","S01-Q2",2,4,"E03"
"C0006","01 History Taking","S01-Q3",2,4,"E07"
"C0006","01 History Taking","S01-Q4",2,4,"E08"
"C0006","01 History Taking","S01-Q5",3,4,"E09"
"C0006","02 Cardio Exam","S02-Q1",3,4,"E02"
"C0006","02 Cardio Exam","S02-Q2",4,4,"E01"
"C0006","02 Cardio Exam","S02-Q3",4,4,"E07"
"C0006","02 Cardio Exam","S02-Q4",2,4,"E11"
"C0006","02 Cardio Exam","S02-Q5",1,4,"E12"
"C0006","03 Resp Exam","S03-Q1",3,4,"E07"
"C0006","03 Resp Exam","S03-Q2",3,4,"E10"
"C0006","03 Resp Exam","S03-Q3",2,4,"E09"
"C0006","03 Resp Exam","S03-Q4",3,4,"E09"
"C0006","03 Resp Exam","S03-Q5",2,4,"E04"
"C0006","04 Abdo Exam","S04-Q1",4,4,"E12"
"C0006","04 Abdo Exam","S04-Q2",4,4,"E03"
"C0006","04 Abdo Exam","S04-Q3",0,4,"E01"
"C0006","04 Abdo Exam","S04-Q4",2,4,"E06"
"C0006","04 Abdo Exam","S04-Q5",3,4,"E04"
"C0006","05 Neuro Exam","S05-Q1",0,4,"E06"
"C0006","05 Neuro Exam","S05-Q2",3,4,"E03"
"C0006","05 Neuro Exam","S05-Q3",3,4,"E05"
"C0006","05 Neuro Exam","S05-Q4",0,4,"E05"
"C0006","05 Neuro Exam","S05-Q5",3,4,"E09"
"C0006","06 Communication","S06-Q1",1,4,"E03"
"C0006","06 Communication","S06-Q2",2,4,"E02"
"C0006","06 Communication","S06-Q3",1,4,"E03"
"C0006","06 Communication","S06-Q4",2,4,"E09"
"C0006","06 Communication","S06-Q5",1,4,"E03"
"C0006","07 Prescribing","S07-Q1",0,4,"E04"
"C0006","07 Prescribing","S07-Q2",2,4,"E09"
"C0006","07 Prescribing","S07-Q3",0,4,"E03"
"C0006","07 Prescribing","S07-Q4",3,4,"E09"
"C0006","07 Prescribing","S07-Q5",4,4,"E10"
"C0006","08 Data Interp","S08-Q1",1,4,"E06"
"C0006","08 Data Interp","S08-Q2",0,4,"E10"
"C0006","08 Data Interp","S08-Q3",4,4,"E07"
"C0006","08 Data Interp","S08-Q4",3,4,"E08"
"C0006","08 Data Interp","S08-Q5",1,4,"E06"
"C0006","09 Practical Skills","S09-Q1",0,4,"E04"
"C0006","09 Practical Skills","S09-Q2",4,4,"E04"
"C0006","09 Practical Skills","S09-Q3",0,4,"E12"
"C0006","09 Practical Skills","S09-Q4",1,4,"E07"
"C0006","09 Practical Skills","S09-Q5",2,4,"E11"
"C0006","10 Ethics","S10-Q1",1,4,"E02"
"C0006","10 Ethics","S10-Q2",3,4,"E06"
"C0006","10 Ethics","S10-Q3",3,4,"E07"
"C0006","10 Ethics","S10-Q4",2,4,"E01"
"C0006","10 Ethics","S10-Q5",4,4,"E04"
"C0007","01 History Taking","S01-Q1",3,4,"E01"
"C0007","01 History Taking","S01-Q2",4,4,"E02"
"C0007","01 History Taking","S01-Q3",4,4,"E06"
"C0007","01 History Taking","S01-Q4",4,4,"E03"
"C0007","01 History Taking","S01-Q5",3,4,"E02"
"C0007","02 Cardio Exam","S02-Q1",4,4,"E06"
"C0007","02 Cardio Exam","S02-Q2",4,4,"E04"
"C0007","02 Cardio Exam","S02-Q3",4,4,"E08"
"C0007","02 Cardio Exam","S02-Q4",3,4,"E11"
"C0007","02 Cardio Exam","S02-Q5",3,4,"E03"
"C0007","03 Resp Exam","S03-Q1",1,4,"E12"
"C0007","03 Resp Exam","S03-Q2",3,4,"E12"
"C0007","03 Resp Exam","S03-Q3",3,4,"E10"
"C0007","03 Resp Exam","S03-Q4",2,4,"E06"
"C0007","03 Resp Exam","S03-Q5",4,4,"E09"
"C0007","04 Abdo Exam","S04-Q1",4,4,"E06"
"C0007","04 Abdo Exam","S04-Q2",3,4,"E08"
"C0007","04 Abdo Exam","S04-Q3",2,4,"E01"
"C0007","04 Abdo Exam","S04-Q4",1,4,"E10"
"C0007","04 Abdo Exam","S04-Q5",2,4,"E05"
"C0007","05 Neuro Exam","S05-Q1",4,4,"E12"
"C0007","05 Neuro Exam","S05-Q2",3,4,"E12"
"C0007","05 Neuro Exam","S05-Q3",4,4,"E09"
"C0007","05 Neuro Exam","S05-Q4",2,4,"E02"
"C0007","05 Neuro Exam","S05-Q5",4,4,"E12"
"C0007","06 Communication","S06-Q1",2,4,"E02"
"C0007","06 Communication","S06-Q2",3,4,"E08"
"C0007","06 Communication","S06-Q3",3,4,"E04"
"C0007","06 Communication","S06-Q4",1,4,"E04"
"C0007","06 Communication","S06-Q5",4,4,"E03"
"C0007","07 Prescribing","S07-Q1",3,4,"E01"
"C0007","07 Prescribing","S07-Q2",4,4,"E12"
"C0007","07 Prescribing","S07-Q3",0,4,"E03"
"C0007","07 Prescribing","S07-Q4",3,4,"E09"
"C0007","07 Prescribing","S07-Q5",4,4,"E08"
"C0007","08 Data Interp","S08-Q1",4,4,"E09"
"C0007","08 Data Interp","S08-Q2",3,4,"E02"
"C0007","08 Data Interp","S08-Q3",2,4,"E08"
"C0007","08 Data Interp","S08-Q4",2,4,"E08"
"C0007","08 Data Interp","S08-Q5",1,4,"E06"
"C0007","09 Practical Skills","S09-Q1",3,4,"E06"
"C0007","09 Practical Skills","S09-Q2",4,4,"E01"
"C0007","09 Practical Skills","S09-Q3",4,4,"E08"
"C0007","09 Practical Skills","S09-Q4",3,4,"E07"
"C0007","09 Practical Skills","S09-Q5",3,4,"E01"
"C0007","10 Ethics","S10-Q1",4,4,"E08"
"C0007","10 Ethics","S10-Q2",4,4,"E07"
"C0007","10 Ethics","S10-Q3",4,4,"E06"
"C0007","10 Ethics","S10-Q4",4,4,"E02"
"C0007","10 Ethics","S10-Q5",3,4,"E02"
"C0008","01 History Taking","S01-Q1",4,4,"E05"
"C0008","01 History Taking","S01-Q2",3,4,"E05"
"C0008","01 History Taking","S01-Q3",2,4,"E10"
"C0008","01 History Taking","S01-Q4",1,4,"E03"
"C0008","01 History Taking","S01-Q5",2,4,"E07"
"C0008","02 Cardio Exam","S02-Q1",2,4,"E01"
"C0008","02 Cardio Exam","S02-Q2",2,4,"E09"
"C0008","02 Cardio Exam","S02-Q3",2,4,"E09"
"C0008","02 Cardio Exam","S02-Q4",3,4,"E05"
"C0008","02 Cardio Exam","S02-Q5",1,4,"E04"
"C0008","03 Resp Exam","S03-Q1",1,4,"E05"
"C0008","03 Resp Exam","S03-Q2",1,4,"E12"
"C0008","03 Resp Exam","S03-Q3",1,4,"E04"
"C0008","03 Resp Exam","S03-Q4",1,4,"E06"
"C0008","03 Resp Exam","S03-Q5",0,4,"E06"
"C0008","04 Abdo Exam","S04-Q1",1,4,"E09"
"C0008","04 Abdo Exam","S04-Q2",0,4,"E04"
"C0008","04 Abdo Exam","S04-Q3",1,4,"E10"
"C0008","04 Abdo Exam","S04-Q4",2,4,"E06"
"C0008","04 Abdo Exam","S04-Q5",2,4,"E05"
"C0008","05 Neuro Exam","S05-Q1",1,4,"E07"
"C0008","05 Neuro Exam","S05-Q2",4,4,"E06"
"C0008","05 Neuro Exam","S05-Q3",3,4,"E07"
"C0008","05 Neuro Exam","S05-Q4",1,4,"E07"
"C0008","05 Neuro Exam","S05-Q5",2,4,"E08"
"C0008","06 Communication","S06-Q1",1,4,"E10"
"C0008","06 Communication","S06-Q2",3,4,"E07"
"C0008","06 Communication","S06-Q3",1,4,"E08"
"C0008","06 Communication","S06-Q4",1,4,"E05"
"C0008","06 Communication","S06-Q5",2,4,"E05"
"C0008","07 Prescribing","S07-Q1",3,4,"E04"
"C0008","07 Prescribing","S07-Q2",2,4,"E08"
"C0008","07 Prescribing","S07-Q3",0,4,"E12"
"C0008","07 Prescribing","S07-Q4",2,4,"E11"
"C0008","07 Prescribing","S07-Q5",4,4,"E01"
"C0008","08 Data Interp","S08-Q1",2,4,"E05"
"C0008","08 Data Interp","S08-Q2",1,4,"E05"
"C0008","08 Data Interp","S08-Q3",2,4,"E11"
"C0008","08 Data Interp","S08-Q4",2,4,"E03"
"C0008","08 Data Interp","S08-Q5",1,4,"E10"
"C0008","09 Practical Skills","S09-Q1",2,4,"E10"
"C0008","09 Practical Skills","S09-Q2",4,4,"E06"
"C0008","09 Practical Skills","S09-Q3",0,4,"E06"
"C0008","09 Practical Skills","S09-Q4",2,4,"E09"
"C0008","09 Practical Skills","S09-Q5",2,4,"E01"
"C0008","10 Ethics","S10-Q1",0,4,"E09"
"C0008","10 Ethics","S10-Q2",1,4,"E12"
"C0008","10 Ethics","S10-Q3",3,4,"E05"
"C0008","10 Ethics","S10-Q4",3,4,"E05"
"C0008","10 Ethics","S10-Q5",2,4,"E02"
"C0009","01 History Taking","S01-Q1",3,4,"E02"
"C0009","01 History Taking","S01-Q2",4,4,"E01"
"C0009","01 History Taking","S01-Q3",3,4,"E09"
"C0009","01 History Taking","S01-Q4",4,4,"E01"
"C0009","01 History Taking","S01-Q5",4,4,"E10"
"C0009","02 Cardio Exam","S02-Q1",4,4,"E02"
"C0009","02 Cardio Exam","S02-Q2",3,4,"E04"
"C0009","02 Cardio Exam","S02-Q3",4,4,"E01"
"C0009","02 Cardio Exam","S02-Q4",4,4,"E04"
"C0009","02 Cardio Exam","S02-Q5",4,4,"E09"
"C0009","03 Resp Exam","S03-Q1",2,4,"E10"
"C0009","03 Resp Exam","S03-Q2",4,4,"E04"
"C0009","03 Resp Exam","S03-Q3",3,4,"E07"
"C0009","03 Resp Exam","S03-Q4",4,4,"E03"
"C0009","03 Resp Exam","S03-Q5",4,4,"E07"
"C0009","04 Abdo Exam","S04-Q1",4,4,"E09"
"C0009","04 Abdo Exam","S04-Q2",4,4,"E08"
"C0009","04 Abdo Exam","S04-Q3",2,4,"E07"
"C0009","04 Abdo Exam","S04-Q4",3,4,"E09"
"C0009","04 Abdo Exam","S04-Q5",4,4,"E10"
"C0009","05 Neuro Exam","S05-Q1",4,4,"E03"
"C0009","05 Neuro Exam","S05-Q2",4,4,"E07"
"C0009","05 Neuro Exam","S05-Q3",4,4,"E08"
"C0009","05 Neuro Exam","S05-Q4",4,4,"E04"
"C0009","05 Neuro Exam","S05-Q5",3,4,"E12"
"C0009","06 Communication","S06-Q1",3,4,"E05"
"C0009","06 Communication","S06-Q2",2,4,"E12"
"C0009","06 Communication","S06-Q3",4,4,"E06"
"C0009","06 Communication","S06-Q4",1,4,"E02"
"C0009","06 Communication","S06-Q5",4,4,"E03"
"C0009","07 Prescribing","S07-Q1",4,4,"E04"
"C0009","07 Prescribing","S07-Q2",4,4,"E11"
"C0009","07 Prescribing","S07-Q3",2,4,"E02"
"C0009","07 Prescribing","S07-Q4",3,4,"E06"
"C0009","07 Prescribing","S07-Q5",4,4,"E05"
"C0009","08 Data Interp","S08-Q1",4,4,"E06"
"C0009","08 Data Interp","S08-Q2",1,4,"E11"
"C0009","08 Data Interp","S08-Q3",4,4,"E10"
"C0009","08 Data Interp","S08-Q4",3,4,"E01"
"C0009","08 Data Interp","S08-Q5",3,4,"E03"
"C0009","09 Practical Skills","S09-Q1",4,4,"E04"
"C0009","09 Practical Skills","S09-Q2",4,4,"E12"
"C0009","09 Practical Skills","S09-Q3",3,4,"E04"
"C0009","09 Practical Skills","S09-Q4",4,4,"E07"
"C0009","09 Practical Skills","S09-Q5",2,4,"E11"
"C0009","10 Ethics","S10-Q1",3,4,"E10"
"C0009","10 Ethics","S10-Q2",4,4,"E04"
"C0009","10 Ethics","S10-Q3",4,4,"E01"
"C0009","10 Ethics","S10-Q4",3,4,"E04"
"C0009","10 Ethics","S10-Q5",4,4,"E06"
"C0010","01 History Taking","S01-Q1",2,4,"E11"
"C0010","01 History Taking","S01-Q2",3,4,"E09"
"C0010","01 History Taking","S01-Q3",3,4,"E11"
"C0010","01 History Taking","S01-Q4",2,4,"E08"
"C0010","01 History Taking","S01-Q5",3,4,"E02"
"C0010","02 Cardio Exam","S02-Q1",0,4,"E08"
"C0010","02 Cardio Exam","S02-Q2",2,4,"E05"
"C0010","02 Cardio Exam","S02-Q3",2,4,"E12"
"C0010","02 Cardio Exam","S02-Q4",1,4,"E07"
"C0010","02 Cardio Exam","S02-Q5",3,4,"E01"
"C0010","03 Resp Exam","S03-Q1",4,4,"E03"
"C0010","03 Resp Exam","S03-Q2",0,4,"E02"
"C0010","03 Resp Exam","S03-Q3",2,4,"E02"
"C0010","03 Resp Exam","S03-Q4",0,4,"E03"
"C0010","03 Resp Exam","S03-Q5",0,4,"E11"
"C0010","04 Abdo Exam","S04-Q1",3,4,"E09"
"C0010","04 Abdo Exam","S04-Q2",3,4,"E04"
"C0010","04 Abdo Exam","S04-Q3",0,4,"E07"
"C0010","04 Abdo Exam","S04-Q4",2,4,"E02"
"C0010","04 Abdo Exam","S04-Q5",2,4,"E02"
"C0010","05 Neuro Exam","S05-Q1",3,4,"E04"
"C0010","05 Neuro Exam","S05-Q2",4,4,"E04"
"C0010","05 Neuro Exam","S05-Q3",1,4,"E02"
